ville,abbr,pays,latitude,longitude,timestamp_utc,date_utc,heure_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Paris,PAR,FR,48.8566,2.3522,2025-08-04T12:00:00Z,2025-08-04,12:00,2,107.61,0.14,0.5,64.65,0.09,2.19,3.31,2.55
Paris,PAR,FR,48.8566,2.3522,2025-08-04T13:00:00Z,2025-08-04,13:00,2,108.39,0.12,0.47,67.42,0.09,2.3,3.4,2.61
Paris,PAR,FR,48.8566,2.3522,2025-08-04T14:00:00Z,2025-08-04,14:00,2,108.12,0.12,0.46,68.73,0.09,2.34,3.4,2.62
Paris,PAR,FR,48.8566,2.3522,2025-08-04T15:00:00Z,2025-08-04,15:00,2,108.3,0.12,0.5,70.41,0.08,2.4,3.45,2.66
Paris,PAR,FR,48.8566,2.3522,2025-08-04T16:00:00Z,2025-08-04,16:00,2,110.25,0.12,0.58,72.96,0.09,2.5,3.55,2.73
Paris,PAR,FR,48.8566,2.3522,2025-08-04T17:00:00Z,2025-08-04,17:00,2,111.46,0.11,0.67,74.3,0.09,2.58,3.63,2.86
Paris,PAR,FR,48.8566,2.3522,2025-08-04T18:00:00Z,2025-08-04,18:00,2,112.58,0.08,0.79,74.59,0.09,2.63,3.67,3.04
Paris,PAR,FR,48.8566,2.3522,2025-08-04T19:00:00Z,2025-08-04,19:00,2,113.59,0.04,1.43,67.82,0.11,2.71,3.8,3.82
Paris,PAR,FR,48.8566,2.3522,2025-08-04T20:00:00Z,2025-08-04,20:00,1,114.93,0.0,2.27,57.75,0.12,2.85,4.01,4.95
Paris,PAR,FR,48.8566,2.3522,2025-08-04T21:00:00Z,2025-08-04,21:00,1,116.02,0.0,2.91,50.63,0.12,2.97,4.17,5.89
Paris,PAR,FR,48.8566,2.3522,2025-08-04T22:00:00Z,2025-08-04,22:00,1,115.2,0.0,3.12,45.57,0.1,3.02,4.21,6.4
Paris,PAR,FR,48.8566,2.3522,2025-08-04T23:00:00Z,2025-08-04,23:00,1,116.18,0.0,2.9,43.42,0.08,3.1,4.28,6.45
Paris,PAR,FR,48.8566,2.3522,2025-08-05T00:00:00Z,2025-08-05,00:00,1,118.34,0.0,2.62,42.98,0.08,3.25,4.41,6.38
Paris,PAR,FR,48.8566,2.3522,2025-08-05T01:00:00Z,2025-08-05,01:00,1,120.47,0.0,2.27,45.14,0.09,3.41,4.57,6.08
Paris,PAR,FR,48.8566,2.3522,2025-08-05T02:00:00Z,2025-08-05,02:00,1,122.77,0.0,2.06,45.07,0.1,3.57,4.76,5.53
Paris,PAR,FR,48.8566,2.3522,2025-08-05T03:00:00Z,2025-08-05,03:00,1,123.18,0.0,1.88,44.46,0.12,3.59,4.8,4.82
Paris,PAR,FR,48.8566,2.3522,2025-08-05T04:00:00Z,2025-08-05,04:00,1,118.79,0.0,1.73,43.25,0.14,3.31,4.46,3.96
Paris,PAR,FR,48.8566,2.3522,2025-08-05T05:00:00Z,2025-08-05,05:00,1,111.74,0.0,1.97,40.46,0.14,2.86,3.8,2.67
Paris,PAR,FR,48.8566,2.3522,2025-08-05T06:00:00Z,2025-08-05,06:00,1,104.32,0.01,2.48,38.09,0.15,2.37,3.01,1.61
Paris,PAR,FR,48.8566,2.3522,2025-08-05T07:00:00Z,2025-08-05,07:00,1,101.53,0.11,2.45,40.34,0.19,2.02,2.43,1.01
Paris,PAR,FR,48.8566,2.3522,2025-08-05T08:00:00Z,2025-08-05,08:00,1,108.62,0.38,2.17,45.04,0.3,2.16,2.79,1.08
Paris,PAR,FR,48.8566,2.3522,2025-08-05T09:00:00Z,2025-08-05,09:00,1,120.04,0.52,1.74,52.53,0.47,2.51,3.83,1.42
Paris,PAR,FR,48.8566,2.3522,2025-08-05T10:00:00Z,2025-08-05,10:00,2,132.37,0.35,1.14,67.38,0.62,2.72,5.01,1.61
Paris,PAR,FR,48.8566,2.3522,2025-08-05T11:00:00Z,2025-08-05,11:00,2,137.74,0.2,0.76,79.63,0.68,2.87,5.9,1.75
Paris,PAR,FR,48.8566,2.3522,2025-08-05T12:00:00Z,2025-08-05,12:00,2,139.31,0.15,0.62,86.04,0.72,3.1,6.7,1.95
Paris,PAR,FR,48.8566,2.3522,2025-08-05T13:00:00Z,2025-08-05,13:00,2,140.36,0.13,0.55,91.99,0.7,3.06,6.74,2.01
Paris,PAR,FR,48.8566,2.3522,2025-08-05T14:00:00Z,2025-08-05,14:00,2,137.08,0.11,0.53,94.17,0.62,2.81,6.09,1.91
Paris,PAR,FR,48.8566,2.3522,2025-08-05T15:00:00Z,2025-08-05,15:00,2,133.18,0.12,0.56,94.05,0.58,2.66,5.71,1.88
Paris,PAR,FR,48.8566,2.3522,2025-08-05T16:00:00Z,2025-08-05,16:00,2,129.05,0.11,0.62,93.25,0.56,2.5,5.41,1.92
Paris,PAR,FR,48.8566,2.3522,2025-08-05T17:00:00Z,2025-08-05,17:00,2,125.38,0.1,0.69,91.74,0.55,2.35,5.14,2.0
Paris,PAR,FR,48.8566,2.3522,2025-08-05T18:00:00Z,2025-08-05,18:00,2,122.76,0.07,0.77,89.55,0.56,2.2,4.9,2.07
Paris,PAR,FR,48.8566,2.3522,2025-08-05T19:00:00Z,2025-08-05,19:00,2,120.17,0.02,1.01,84.89,0.57,2.02,4.62,2.32
Paris,PAR,FR,48.8566,2.3522,2025-08-05T20:00:00Z,2025-08-05,20:00,2,119.31,0.0,1.28,79.96,0.58,1.88,4.44,2.76
Paris,PAR,FR,48.8566,2.3522,2025-08-05T21:00:00Z,2025-08-05,21:00,2,118.79,0.0,1.52,76.21,0.59,1.8,4.3,3.16
Paris,PAR,FR,48.8566,2.3522,2025-08-05T22:00:00Z,2025-08-05,22:00,2,116.33,0.0,1.66,71.65,0.58,1.7,4.08,3.54
Paris,PAR,FR,48.8566,2.3522,2025-08-05T23:00:00Z,2025-08-05,23:00,2,115.94,0.0,1.72,68.15,0.55,1.66,3.98,4.01
Paris,PAR,FR,48.8566,2.3522,2025-08-06T00:00:00Z,2025-08-06,00:00,2,116.27,0.0,1.72,65.26,0.54,1.68,4.03,4.37
Paris,PAR,FR,48.8566,2.3522,2025-08-06T01:00:00Z,2025-08-06,01:00,2,116.25,0.0,1.77,61.64,0.54,1.75,4.2,4.45
Paris,PAR,FR,48.8566,2.3522,2025-08-06T02:00:00Z,2025-08-06,02:00,1,118.37,0.0,1.96,58.74,0.56,1.92,4.63,4.37
Paris,PAR,FR,48.8566,2.3522,2025-08-06T03:00:00Z,2025-08-06,03:00,1,121.41,0.0,2.3,55.91,0.58,2.18,5.24,3.98
Paris,PAR,FR,48.8566,2.3522,2025-08-06T04:00:00Z,2025-08-06,04:00,1,123.54,0.0,2.77,52.95,0.6,2.46,5.89,3.51
Paris,PAR,FR,48.8566,2.3522,2025-08-06T05:00:00Z,2025-08-06,05:00,1,125.95,0.0,3.63,51.09,0.64,2.77,6.57,3.34
Paris,PAR,FR,48.8566,2.3522,2025-08-06T06:00:00Z,2025-08-06,06:00,1,128.26,0.05,4.88,50.3,0.7,3.07,7.2,3.32
Paris,PAR,FR,48.8566,2.3522,2025-08-06T07:00:00Z,2025-08-06,07:00,1,129.4,0.41,5.29,50.97,0.76,3.29,7.62,3.61
